id,name,domain,industry,sub,country,region,city,size,revenue,founded,traffic,tech,signals,funding_round,funding_amount,funding_date,description,pains
co_1,Vantagepeak,vantagepeak.io,Professional Services,Engineering,United States,Midwest,Detroit,224,$50M–$100M,2000,494000,"[""Salesforce"",""Power BI""]",[],,,,Vantagepeak is an advisory firm serving mid-market and public-sector clients.,"[""partner time spent on origination"",""undifferentiated positioning"",""referral dependence""]"
co_2,Summitbridge,summitbridge.com,Professional Services,Engineering,Canada,Ontario,Oshawa,258,$100M+,2017,201000,"[""DocuSign"",""Power BI""]","[""Partnership announced"",""Launched new program"",""Expanding to new region""]",Grant,$15M,2024,Summitbridge is an advisory firm serving mid-market and public-sector clients.,"[""partner time spent on origination"",""undifferentiated positioning"",""referral dependence""]"
co_3,Maplegate,maplegate.co,SaaS,Vertical SaaS,Ireland,Leinster,Dublin,384,$100M+,2003,838000,"[""Snowflake"",""Stripe"",""React""]","[""Conference exhibitor"",""Partnership announced""]",Series A,$3.5M,2026,Maplegate sells a B2B software platform to mid-market operations teams.,"[""CAC creeping up"",""flat pipeline coverage"",""outbound not converting""]"
co_4,Driftpeak,driftpeak.org,EdTech,Student Success,Canada,Ontario,Pickering,56,$10M–$25M,1998,576000,"[""Stripe"",""Segment""]","[""Board expansion"",""Partnership announced""]",,,,"Driftpeak builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_5,Compassloop,compassloop.org,HealthTech,Clinical AI,Canada,British Columbia,Vancouver,106,$25M–$50M,1974,563000,"[""Epic"",""AWS"",""Salesforce""]","[""Expanding to new region""]",Grant,$250K,2022,Compassloop delivers clinical software to providers and care networks.,"[""procurement and privacy review"",""clinician adoption"",""reimbursement clarity""]"
co_6,Crestrise,crestrise.co,Corporate Training,Compliance Training,Canada,Ontario,London,504,$100M+,2019,684000,"[""Docebo"",""Articulate""]",[],Grant,$3.5M,2024,Crestrise designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_7,Driftpoint,driftpoint.ca,Nonprofit,Foundation,Canada,Ontario,Ottawa,39,$10M–$25M,1981,821000,"[""Raiser's Edge"",""Salesforce NPSP""]",[],Series B,$15M,2025,"Driftpoint runs mission programs funded by grants, members and public partners.","[""grant-cycle dependence"",""capacity constraints"",""measuring program outcomes""]"
co_8,Cedarwave,cedarwave.ca,Corporate Training,Leadership Development,United States,Midwest,Detroit,982,$100M+,2001,548000,"[""Docebo"",""Articulate"",""Workday""]","[""Expanding to new region"",""Launched new program"",""Website relaunch""]",,,,Cedarwave designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_9,Basinshift,basinshift.ca,Corporate Training,Leadership Development,United States,Midwest,Minneapolis,264,$100M+,1975,648000,"[""LinkedIn Learning"",""Docebo"",""Workday"",""Articulate""]","[""Job posts for AI roles"",""Partnership announced""]",,,,Basinshift designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_10,Oakmere College,oakmerecollege.edu,Higher Education,Continuing Studies,Canada,Alberta,Edmonton,2507,$100M+,2002,226000,"[""Qualtrics"",""Slate CRM"",""Canvas LMS""]","[""Published AI policy""]",,,,"Oakmere College delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_11,Anchorcore,anchorcore.co,Professional Services,Accounting,United States,Northeast,New York,51,$10M–$25M,1981,745000,"[""Power BI"",""Microsoft 365"",""DocuSign""]","[""New executive hire"",""Published AI policy"",""Website relaunch""]",,,,Anchorcore is an advisory firm serving mid-market and public-sector clients.,"[""partner time spent on origination"",""undifferentiated positioning"",""referral dependence""]"
co_12,Quarrymark,quarrymark.io,SaaS,Developer Tools,United Kingdom,England,Manchester,37,$10M–$25M,2018,171000,"[""HubSpot"",""AWS"",""Segment""]",[],Series C,$1.2M,2024,Quarrymark sells a B2B software platform to mid-market operations teams.,"[""CAC creeping up"",""flat pipeline coverage"",""outbound not converting""]"
co_13,Aldercore,aldercore.com,EdTech,Tutoring,Canada,Ontario,Ottawa,225,$50M–$100M,2017,85000,"[""AWS"",""Segment""]",[],Seed,$40M,2024,"Aldercore builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_14,Kestrelgate,kestrelgate.org,Corporate Training,Leadership Development,Canada,Ontario,London,247,$50M–$100M,1999,69000,"[""Workday"",""LinkedIn Learning"",""Articulate"",""Docebo""]","[""Recently funded"",""Published AI policy"",""Hiring sales leaders""]",,,,Kestrelgate designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_15,Havengrove,havengrove.com,SaaS,Developer Tools,Canada,Ontario,London,21,$5M–$10M,1994,671000,"[""HubSpot"",""React"",""Snowflake""]","[""New executive hire"",""Published AI policy"",""Website relaunch""]",Seed,$250K,2024,Havengrove sells a B2B software platform to mid-market operations teams.,"[""CAC creeping up"",""flat pipeline coverage"",""outbound not converting""]"
co_16,Northlabs,northlabs.ca,Corporate Training,L&D,United States,Northeast,New York,245,$50M–$100M,2004,876000,"[""Articulate"",""Workday"",""Docebo"",""LinkedIn Learning""]","[""Partnership announced"",""Conference exhibitor"",""Recently funded""]",,,,Northlabs designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_17,Lumenlabs,lumenlabs.org,SaaS,HR Tech,United States,West,San Francisco,91,$25M–$50M,1986,677000,"[""Segment"",""AWS""]",[],Grant,$8M,2022,Lumenlabs sells a B2B software platform to mid-market operations teams.,"[""CAC creeping up"",""flat pipeline coverage"",""outbound not converting""]"
co_18,Anchorpath,anchorpath.org,EdTech,Assessment,Canada,Ontario,Hamilton,23,$5M–$10M,1975,363000,"[""Stripe"",""HubSpot""]",[],Series C,$3.5M,2022,"Anchorpath builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_19,Ironpath,ironpath.ca,Professional Services,Law,Canada,Ontario,Oshawa,166,$50M–$100M,1974,715000,"[""Salesforce"",""DocuSign"",""Power BI""]","[""Hiring sales leaders""]",,,,Ironpath is an advisory firm serving mid-market and public-sector clients.,"[""partner time spent on origination"",""undifferentiated positioning"",""referral dependence""]"
co_20,Havencore,havencore.org,EdTech,LMS,Ireland,Leinster,Dublin,1077,$100M+,2008,740000,"[""AWS"",""React"",""HubSpot""]","[""Launched new program"",""Conference exhibitor""]",,,,"Havencore builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_21,Fernworks,fernworks.io,Corporate Training,Compliance Training,United Kingdom,England,Leeds,371,$100M+,1972,429000,"[""Docebo"",""Workday""]",[],,,,Fernworks designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_22,Fernbrook University,fernbrookuniversit.com,Higher Education,Polytechnic,Canada,Ontario,London,413,$100M+,1989,347000,"[""Banner"",""Qualtrics"",""Slate CRM"",""Zoom""]","[""Board expansion"",""Job posts for AI roles""]",Seed,$8M,2025,"Fernbrook University delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_23,Vantagepoint,vantagepoint.org,EdTech,LMS,Canada,Ontario,Waterloo,8,$3M–$5M,2000,69000,"[""Segment"",""Stripe"",""HubSpot""]","[""Expanding to new region"",""New campus/office"",""Board expansion""]",,,,"Vantagepoint builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_24,Granitespan,granitespan.io,EdTech,Credentialing,Germany,Bavaria,Berlin,87,$25M–$50M,1994,588000,"[""Stripe"",""AWS"",""HubSpot"",""Segment""]",[],,,,"Granitespan builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_25,Crestbridge,crestbridge.com,Agency,Digital Consultancy,United States,South,Miami,168,$50M–$100M,1994,47000,"[""Slack"",""HubSpot"",""Webflow"",""Figma""]","[""New campus/office"",""Recently funded"",""Published AI policy""]",Seed,$8M,2023,"Crestbridge is a client-services agency delivering brand, growth and digital work.","[""feast-or-famine pipeline"",""retainer churn"",""founder-led sales bottleneck""]"
co_26,Cardinalworks,cardinalworks.io,Fintech,Lending,Canada,Ontario,Hamilton,46,$10M–$25M,2015,594000,"[""Salesforce"",""Plaid"",""AWS"",""Snowflake""]",[],,,,Cardinalworks builds regulated financial infrastructure for business customers.,"[""compliance overhead"",""long enterprise cycles"",""trust barrier with regulated buyers""]"
co_27,Tamarackforge,tamarackforge.ca,Corporate Training,Compliance Training,United States,Northeast,Boston,388,$100M+,2018,349000,"[""LinkedIn Learning"",""Articulate""]","[""Board expansion"",""Recently funded"",""Website relaunch""]",,,,Tamarackforge designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_28,Northscope,northscope.org,Cybersecurity,Identity,Canada,British Columbia,Vancouver,931,$100M+,2019,260000,"[""Snowflake"",""CrowdStrike"",""Okta"",""AWS""]","[""Published AI policy""]",Seed,$40M,2026,Northscope sells security tooling to engineering and risk teams.,"[""buyer alert fatigue"",""crowded category"",""proving risk reduction""]"
co_29,Cedarshift,cedarshift.io,Nonprofit,Association,Canada,Ontario,Pickering,13,$3M–$5M,1989,244000,"[""Mailchimp"",""Salesforce NPSP"",""Raiser's Edge""]",[],,,,"Cedarshift runs mission programs funded by grants, members and public partners.","[""grant-cycle dependence"",""capacity constraints"",""measuring program outcomes""]"
co_30,Emberscope,emberscope.com,Fintech,Payroll,Canada,Ontario,London,377,$100M+,2002,279000,"[""Plaid"",""Stripe"",""Salesforce"",""Snowflake""]",[],,,,Emberscope builds regulated financial infrastructure for business customers.,"[""compliance overhead"",""long enterprise cycles"",""trust barrier with regulated buyers""]"
co_31,Stonebridge Polytechnic,stonebridgepolytec.com,Higher Education,University,United States,Northeast,Boston,2228,$100M+,2000,347000,"[""Slate CRM"",""Banner"",""Zoom""]","[""New campus/office""]",,,,"Stonebridge Polytechnic delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_32,Riverwave,riverwave.com,EdTech,Assessment,United Kingdom,England,Leeds,1222,$100M+,2008,66000,"[""HubSpot"",""Segment""]",[],Series C,$40M,2026,"Riverwave builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_33,Anchorfield,anchorfield.org,Corporate Training,Compliance Training,United States,Northeast,Philadelphia,98,$25M–$50M,2020,64000,"[""LinkedIn Learning"",""Articulate"",""Workday""]","[""Expanding to new region""]",Grant,$3.5M,2023,Anchorfield designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
